都道府県名,指定公共団体名,行政コード,指定主体コード※,公開可否,公開条件,備考
北海道,札幌市,1100,2,オープンデータとして公開,-,-
,函館市,1202,2,条件付き公開,商用利用不可，再配布可,-
,奥尻町,1367,2,オープンデータとして公開,-,-
,洞爺湖町,1584,2,オープンデータとして公開,-,-
,浜中町,1663,2,オープンデータとして公開,-,-
青森県,弘前市,2202,2,オープンデータとして公開,-,-
,八戸市,2203,2,オープンデータとして公開,-,-
,黒石市,2204,2,オープンデータとして公開,-,-
,三戸町,2441,2,条件付き公開,その他,一部，GISデータとして公開不可の区域があります。
,南部町,2445,2,条件付き公開,商用利用不可，再配布不可,-
岩手県,宮古市,3202,2,条件付き公開,商用利用不可，再配布可,-
,大船渡市,3203,2,オープンデータとして公開,-,-
,釜石市,3211,2,オープンデータとして公開,-,-
,大槌町,3461,2,オープンデータとして公開,-,-
,山田町,3482,2,オープンデータとして公開,-,-
,岩泉町,3483,2,オープンデータとして公開,-,-
,野田村,3503,2,オープンデータとして公開,-,-
宮城県,仙台市,4100,2,オープンデータとして公開,-,-
,気仙沼市,4205,2,オープンデータとして公開,-,-
,名取市,4207,2,オープンデータとして公開,-,-
,岩沼市,4211,2,オープンデータとして公開,-,-
,東松島市,4214,2,オープンデータとして公開,-,-
,丸森町,4341,2,オープンデータとして公開,-,-
,亘理町,4361,2,オープンデータとして公開,-,-
,七ヶ浜町,4404,2,オープンデータとして公開,-,-
,女川町,4581,2,公開不可,-,詳細については，女川町に問合せください。
,南三陸町,4606,2,オープンデータとして公開,-,-
秋田県,大仙市,5212,2,オープンデータとして公開,-,-
福島県,いわき市,7204,2,オープンデータとして公開,-,-
,喜多方市,7208,2,オープンデータとして公開,-,-
,相馬市,7209,2,オープンデータとして公開,-,-
,二本松市,7210,2,公開不可,-,-
,富岡町,7543,2,条件付き公開,商用利用不可，再配布不可,-
,浪江町,7547,2,オープンデータとして公開,-,-
茨城県,県,8000,1,オープンデータとして公開,-,-
,水戸市,8201,2,オープンデータとして公開,-,-
,日立市,8202,2,オープンデータとして公開,-,-
,土浦市,8203,2,オープンデータとして公開,-,-
,高萩市,8214,2,オープンデータとして公開,-,-
,北茨城市,8215,2,オープンデータとして公開,-,-
,取手市,8217,2,オープンデータとして公開,-,-
,つくば市,8220,2,オープンデータとして公開,-,-
,ひたちなか市,8221,2,オープンデータとして公開,-,-
群馬県,県,10000,1,条件付き公開,その他,「群馬県統合型地理情報システム（GIS）」の利用規約を遵守してください。
千葉県,県,12000,1,オープンデータとして公開,-,-
東京都,三宅村,13381,2,オープンデータとして公開,-,-
神奈川県,県,14000,1,オープンデータとして公開,-,-
,横浜市,14100,2,オープンデータとして公開,-,-
,川崎市,14130,2,オープンデータとして公開,-,-
,相模原市,14150,2,条件付き公開,商用利用不可，再配布不可,-
,横須賀市,14201,2,オープンデータとして公開,-,-
,平塚市,14203,2,オープンデータとして公開,-,-
,鎌倉市,14204,2,オープンデータとして公開,-,-
,小田原市,14206,2,オープンデータとして公開,-,-
,秦野市,14211,2,オープンデータとして公開,-,-
新潟県,県,15000,1,オープンデータとして公開,-,-
富山県,県,16000,1,オープンデータとして公開,-,-
石川県,県,17000,1,オープンデータとして公開,-,-
長野県,県,20000,1,条件付き公開,商用利用可，再配布不可,-
,中野市,20211,2,オープンデータとして公開,-,-
岐阜県,県,21000,1,オープンデータとして公開,-,-
静岡県,県,22000,1,条件付き公開,その他,「静岡県地理情報システム（GIS）」の利用規約を遵守してください。
愛知県,名古屋市,23100,2,オープンデータとして公開,-,-
滋賀県,県,25000,1,オープンデータとして公開,-,-
京都府,福知山市,26201,2,オープンデータとして公開,-,-
,舞鶴市,26202,2,オープンデータとして公開,-,-
大阪府,府,27000,1,オープンデータとして公開,-,-
,高槻市,27207,2,公開不可,-,-
,和泉市,27219,2,オープンデータとして公開,-,-
,箕面市,27220,2,オープンデータとして公開,-,-
兵庫県,県,28000,1,オープンデータとして公開,-,-
,三田市,28219,2,オープンデータとして公開,-,-
和歌山県,新宮市,30207,2,オープンデータとして公開,-,-
鳥取県,県,31000,1,オープンデータとして公開,-,-
島根県,県,32000,1,オープンデータとして公開,-,-
,江津市,32207,2,オープンデータとして公開,-,-
