30_001,30_002,30_003,30_004,30_005,30_006,30_007,30_008,30_009,30_010
1,,1,1,2,0,10102,10102,,
2,,2,14,0,0,21400,21400,,
3,,1,2,1,0,10201,10201,,
4,,1,2,2,0,10202,10202,,
5,,1,2,1,0,10201,10201,,
6,,2,13,0,0,21300,21300,,
7,,2,20,0,0,22000,22000,,
8,,2,20,0,0,22000,22000,,
9,,2,13,0,0,21300,21300,,
10,,2,13,0,0,21300,21300,,
11,,2,14,0,0,21400,21400,,
12,,2,20,0,0,22000,22000,,
13,,2,20,0,0,22000,22000,,
14,,2,13,0,0,21300,21300,,
15,,1,6,0,0,10600,10600,,
16,,1,2,1,0,10201,10201,,
17,,2,13,0,0,21300,21300,,
18,,2,14,0,0,21400,21400,,
19,,2,1,0,0,20100,20100,,
20,,2,19,0,0,21900,21900,,
21,,2,14,0,0,21400,21400,,
22,,1,6,0,0,10600,10600,,
23,,1,2,1,0,10201,10201,,
24,,1,4,0,0,10400,10400,,
25,,1,6,0,0,10600,10600,,
26,,1,4,0,0,10400,10400,,
27,,2,13,0,0,21300,21300,,
28,,2,16,0,0,21600,21600,,
29,,1,2,1,0,10201,10201,,
30,,1,2,1,0,10201,10201,,
31,,1,2,1,0,10201,10201,,
32,,2,14,0,0,21400,21400,,
33,,2,13,0,0,21300,21300,,
34,,2,13,0,0,21300,21300,,
35,,2,13,0,0,21300,21300,,
36,,1,2,1,0,10201,10201,,
37,,1,3,0,0,10300,10300,,
38,,2,20,0,0,22000,22000,,
39,,2,20,0,0,22000,22000,,
40,,1,4,0,0,10400,10400,,
41,,1,4,0,0,10400,10400,,
42,,2,20,0,0,22000,22000,,
43,,2,19,0,0,21900,21900,,
44,,2,13,0,0,21300,21300,,
45,,2,13,0,0,21300,21300,,
46,,2,20,0,0,22000,22000,,
47,,1,2,1,0,10201,10201,,
48,,2,13,0,0,21300,21300,,
49,,2,3,0,0,20300,20300,,
50,,1,6,0,0,10600,10600,,
51,,2,13,0,0,21300,21300,,
52,,2,13,0,0,21300,21300,,
53,,2,13,0,0,21300,21300,,
54,,2,13,0,0,21300,21300,,
55,,2,20,0,0,22000,22000,,
56,,2,13,0,0,21300,21300,,
57,,2,13,0,0,21300,21300,,
58,,2,20,0,0,22000,22000,,
59,,2,13,0,0,21300,21300,,
60,,2,13,0,0,21300,21300,,
61,,1,5,0,0,10500,10500,,
62,,2,13,0,0,21300,21300,,
63,,2,1,0,0,20100,20100,,
64,,2,20,0,0,22000,22000,,
65,,3,2,3,0,30203,30203,,
66,,1,5,0,0,10500,10500,,
67,,3,3,6,0,30306,30306,,
68,,3,3,8,0,30308,30308,,
69,,2,19,0,0,21900,21900,,
70,,1,6,0,0,10600,10600,,
71,,2,14,0,0,21400,21400,,
72,,1,7,1,0,10701,10701,,
73,,3,3,8,0,30308,30308,,
74,,3,2,4,0,30204,21400,,
75,,1,1,1,0,10101,10101,,
76,,1,6,0,0,10600,30308,,
77,,1,2,1,0,10201,10201,,
78,,1,6,0,0,10600,10600,,
79,,1,1,1,0,10101,10101,,
80,,1,5,0,0,10500,10500,,
81,,1,6,0,0,10600,10201,,
82,,1,6,0,0,10600,10600,,
83,,3,3,8,0,30308,30308,,
84,,1,6,0,0,10600,10600,,
85,,3,3,8,0,30308,30308,,
86,,1,6,0,0,10600,10600,,
87,,3,3,8,0,30308,30308,,
88,,1,7,2,0,10702,30205,,
89,,1,6,0,0,10600,10600,,
90,,1,1,1,0,10101,10101,,
91,,1,6,0,0,10600,30308,,
92,,2,7,0,0,20700,20700,,
93,,3,3,8,0,30308,30308,,
94,,1,1,2,0,10102,10102,,
95,,1,1,1,0,10101,10101,,
96,,1,1,1,0,10101,10101,,
97,,1,6,0,0,10600,10600,,
98,,3,2,4,0,30204,30205,,
99,,3,4,0,0,30400,30400,,
100,,2,14,0,0,21400,21400,,
101,,2,20,0,0,22000,22000,,
102,,3,3,7,0,30307,30307,,
103,,1,6,0,0,10600,30201,,
104,,1,5,0,0,10500,10500,,
105,,1,2,1,0,10201,10201,,
106,,1,6,0,0,10600,10300,,
107,,1,7,1,0,10701,10300,,
108,,1,6,0,0,10600,21400,,
109,,3,3,2,0,30302,30302,,
110,,1,1,2,0,10102,10102,,
111,,1,1,2,0,10102,10102,,
112,,1,1,2,0,10102,10102,,
113,,3,3,8,0,30308,30308,,
114,,2,16,0,0,21600,21600,,
115,,1,7,2,0,10702,10201,,
116,,1,2,2,0,10202,10202,,
117,,3,2,4,0,30204,30205,,
118,,1,6,0,0,10600,10201,,
119,,1,2,1,0,10201,30201,,
120,,1,7,2,0,10702,10202,,
121,,1,6,0,0,10600,10201,,
122,,2,14,0,0,21400,21400,,
123,,1,2,1,0,10201,10300,,
124,,3,2,4,0,30204,30205,,
125,,3,3,8,0,30308,30308,,
126,,2,1,0,0,20100,20100,,
127,,1,2,2,0,10202,10201,,
128,,1,1,2,0,10102,10102,,
129,,2,14,0,0,21400,21400,,
130,,2,14,0,0,21400,21400,,
131,,1,6,0,0,10600,10201,,
132,,1,6,0,0,10600,10202,,
133,,1,2,1,0,10201,10201,,
134,,3,2,1,0,30201,30205,,
135,,1,6,0,0,10600,10600,,
136,,2,1,0,0,20100,20100,,
137,,3,3,7,0,30307,30307,,
