KEY_CODE,éñã∆èäêî,è]ã∆é“êî
39284070,1,68
39285080,5,350
39286010,7,20
39286020,3,47
39286021,29,314
39286022,62,181
39286046,1,7
39286047,8,17
39286051,2,36
39286052,4,3
39286053,2,14
39286054,6,28
39286056,11,510
39286057,1,6
39286058,4,10
39286062,2,3
39286063,5,15
39286064,12,44
39286065,9,21
39286066,9,41
39286067,1,0
39286068,4,11
39286074,1,229
39286079,2,22
39286082,3,22
39286085,1,2
39286089,5,11
39286091,1,9
39286180,5,12
39287013,1,31
39287017,2,8
39287019,1,3
39287020,16,422
39287029,13,63
39287030,104,915
39287031,10,60
39287039,2,4
39287040,35,273
39287041,54,343
39287042,5,13
39287046,1,9
39287050,16,84
39287051,9,35
39287052,45,181
39287053,10,26
39287055,3,5
39287056,1,9
39287062,1,16
39287063,7,30
39287064,5,8
39287065,14,63
39287066,2,10
39287067,1,0
39287068,1,47
39287069,4,8
39287072,2,12
39287075,1,0
39287076,1,7
39287077,6,51
39287078,1,11
39287079,2,30
39287080,17,56
39287081,2,5
39287082,8,30
39287087,5,11
39287088,4,77
39287089,2,10
39287090,1,1
39287091,2,3
39287097,10,44
39287098,12,68
39287121,9,53
39287122,1,5
39287131,1,1
39287151,4,16
39287152,21,177
39287153,10,44
39287154,6,53
39287155,2,3
39287157,1,2
39287160,1,15
39287161,5,9
39287162,2,27
39287170,1,1
39287174,1,5
39287180,2,3
39287189,2,3
39287190,5,55
39287191,1,1
39287199,5,16
39287290,5,19
